contributor,label,origin,NA,NT,NR,NOR,ORR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR
j_kim,Human,human,62,5,3.0,3,1.0,20.667,3.0,32.347,0.613,28.5,12.4,2.0,19.794,0.658,10.0,15.5,15.5,15.631,0.452,26.0,1.667,2.0,0.577,0.133,0.5,388.608,360.235,450.524,0.357,747.187,61.46,64.726,41.865,0.302,41.769,28.505,4.442,67.819,0.762,21.497,49.704,19.363,107.545,0.728,20.945
degan,Human,human,23,5,3.0,3,1.0,7.667,3.0,8.963,0.464,8.0,4.6,2.0,5.505,0.522,4.0,3.286,3.0,2.928,0.422,3.0,2.0,2.0,1.0,0.222,1.0,200.123,0.048,466.216,0.687,74.101,46.444,34.496,51.597,0.536,52.832,76.342,22.925,162.723,0.767,62.66,110.561,26.788,205.192,0.733,63.916
chrissharp,Human,human,82,6,2.0,2,1.0,41.0,41.0,28.284,0.244,20.0,13.667,5.5,18.305,0.614,18.0,9.111,9.0,5.711,0.328,10.0,4.0,4.0,2.828,0.25,2.0,81.973,21.722,130.305,0.627,85.706,6.079,1.35,9.959,0.701,5.568,9.708,0.395,36.403,0.881,2.305,4.238,0.208,11.137,0.846,1.349
juwong,Human,human,87,6,5.0,2,0.4,17.4,18.0,12.896,0.372,13.0,14.5,7.0,19.897,0.603,13.75,3.955,1.5,4.884,0.548,3.75,3.4,4.0,1.817,0.259,3.0,10.241,0.002,24.885,0.714,2.958,13.078,5.781,16.359,0.613,20.23,5.813,0.227,14.468,0.846,1.262,7.242,0.274,16.768,0.821,3.905
rkohnke,Human,human,130,6,2.0,2,1.0,65.0,65.0,69.296,0.377,49.0,21.667,2.0,40.923,0.726,12.75,10.0,3.0,12.832,0.596,16.0,4.0,4.0,2.828,0.25,2.0,54.592,0.631,103.883,0.723,73.701,27.391,0.779,41.821,0.694,38.705,8.05,0.456,21.294,0.856,1.253,17.369,0.603,33.867,0.798,17.636
vedprakash2021,Human,human,89,9,6.0,6,1.0,14.833,4.5,22.302,0.642,14.5,9.889,4.0,12.624,0.589,8.0,3.423,2.0,3.035,0.409,3.75,2.167,1.5,1.941,0.372,1.0,7.241,0.044,21.102,0.808,2.819,22.993,16.229,31.471,0.648,18.475,8.672,0.236,20.756,0.834,3.669,9.344,0.072,22.461,0.843,3.02
jfarmiloe,Human,human,55,8,7.0,4,0.571,7.857,6.0,5.728,0.348,6.5,6.875,5.5,4.853,0.348,4.75,2.619,2.0,1.962,0.376,2.0,3.286,3.0,1.496,0.236,2.0,54.129,0.527,151.382,0.793,10.869,42.808,16.502,63.845,0.674,44.513,36.905,1.873,89.276,0.822,25.093,35.199,0.958,96.08,0.852,17.102
SamirHafez,Human,human,9,6,3.0,3,1.0,3.0,2.0,2.646,0.37,2.5,1.5,1.0,1.225,0.278,0.0,3.0,2.0,2.646,0.37,2.5,2.333,1.0,2.309,0.381,2.0,16.935,0.112,29.235,0.498,25.346,296.125,296.125,50.449,0.06,35.673,80.382,12.915,134.891,0.722,83.259,63.748,12.915,131.788,0.763,23.141
grantyoung,Human,human,209,8,11.0,6,0.545,19.0,3.0,51.139,0.797,4.5,26.125,26.0,17.025,0.342,29.75,4.976,1.0,9.644,0.655,3.0,2.364,1.0,2.42,0.441,1.5,6.311,0.0,20.629,0.786,1.292,13.425,0.331,67.105,0.942,0.783,3.921,0.128,30.361,0.939,0.62,4.885,0.12,34.556,0.939,0.699
andrewn,Human,human,254,9,28.0,14,0.5,9.071,3.0,13.676,0.635,9.25,28.222,18.0,31.799,0.494,25.0,2.566,2.0,2.512,0.435,2.0,2.536,2.0,1.71,0.353,3.0,6.924,0.001,43.767,0.926,0.191,11.199,1.049,26.235,0.799,10.936,7.047,0.179,31.981,0.91,1.042,8.695,0.186,38.887,0.914,1.365
ktchernov,Human,human,58,11,11.0,7,0.636,5.273,3.0,4.361,0.426,7.0,5.273,5.0,3.771,0.386,6.5,2.522,2.0,2.192,0.376,2.0,2.818,3.0,1.779,0.317,1.5,17.641,0.002,41.361,0.748,10.798,72.012,21.834,114.574,0.675,87.715,34.912,1.867,79.746,0.803,22.963,35.953,0.709,84.226,0.817,22.873
nwestbury,Human,human,255,10,6.0,4,0.667,42.5,7.5,76.375,0.704,25.5,25.5,17.5,21.025,0.431,38.75,5.0,2.0,12.914,0.682,2.0,3.5,1.5,3.728,0.484,4.0,28.244,0.001,118.303,0.851,3.288,14.455,2.92,25.667,0.723,17.093,8.516,0.272,31.601,0.879,2.25,9.042,0.194,35.498,0.896,1.807
tmike,Human,human,161,13,12.0,5,0.417,13.417,2.5,24.854,0.707,4.0,12.385,9.0,10.34,0.448,17.0,4.025,2.0,5.299,0.535,3.25,3.5,2.0,3.119,0.44,3.75,12.556,0.109,37.292,0.834,2.407,41.291,19.936,76.104,0.71,44.857,13.204,0.114,43.965,0.897,1.76,12.535,0.113,45.989,0.904,1.761
abologna,Human,human,87,9,6.0,2,0.333,14.5,12.5,10.035,0.351,15.75,9.667,6.0,13.647,0.557,5.0,2.417,2.0,1.991,0.391,2.0,2.5,2.0,0.837,0.144,0.75,7.891,0.003,19.131,0.756,1.245,48.815,20.412,66.118,0.638,69.057,23.17,1.458,48.041,0.792,20.089,26.996,0.405,56.625,0.809,20.643
MichalPrivoznik,Human,human,118,7,7.0,3,0.429,16.857,4.0,18.836,0.547,27.0,16.857,5.0,24.579,0.617,13.5,2.107,2.0,1.423,0.326,1.25,2.286,2.0,0.951,0.196,0.5,13.83,0.0,48.465,0.783,0.549,25.232,3.515,60.194,0.776,21.368,18.481,0.579,53.015,0.822,17.565,13.719,0.13,44.832,0.857,5.091
berrange,Human,human,263,12,46.0,17,0.37,5.717,2.0,9.304,0.614,4.75,21.917,20.0,24.04,0.528,25.5,1.604,1.0,1.111,0.292,1.0,2.0,2.0,1.333,0.318,1.0,1.618,0.0,8.613,0.853,0.023,7.695,0.405,23.618,0.872,2.568,5.8,0.187,19.483,0.884,1.714,6.473,0.15,21.258,0.886,1.817
Holger23,Human,human,30,3,1.0,1,1.0,30.0,30.0,0.0,0.0,0.0,10.0,8.0,5.292,0.222,5.0,30.0,30.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1055.923,1055.923,0.0,0.0,0.0,,,0.0,0.0,,36.411,18.964,57.12,0.669,32.629,42.719,20.389,61.641,0.62,29.809
myron0815,Human,human,134,6,4.0,2,0.5,33.5,17.0,45.764,0.601,45.5,22.333,2.5,32.904,0.652,34.75,11.167,4.5,12.812,0.562,12.75,2.25,1.0,2.5,0.417,1.25,143.914,12.403,261.566,0.719,119.168,30.788,25.296,27.107,0.441,19.656,15.531,1.733,41.129,0.785,17.306,25.07,2.429,58.739,0.765,26.021
oleg-shatov,Human,human,61,5,2.0,2,1.0,30.5,30.5,12.021,0.139,8.5,12.2,12.0,9.884,0.4,9.0,2.652,2.0,2.014,0.364,2.0,2.5,2.5,0.707,0.1,0.5,36.955,0.102,84.934,0.749,22.901,12.042,0.188,27.097,0.815,12.345,18.581,0.419,47.38,0.839,12.911,18.455,0.822,39.131,0.807,12.934
cher-nov,Human,human,38,3,3.0,2,0.667,12.667,5.0,15.948,0.509,14.5,12.667,13.0,10.504,0.368,10.5,3.455,1.0,4.783,0.545,2.5,2.333,2.0,0.577,0.095,0.5,169.657,0.0,537.372,0.779,8.727,22.338,16.292,20.854,0.44,12.321,56.476,10.602,230.552,0.857,19.261,115.209,11.455,347.715,0.853,47.249
PascalDragon,Human,human,255,7,3.0,2,0.667,85.0,71.0,88.831,0.46,88.0,36.429,4.0,72.75,0.736,20.5,3.984,2.0,3.588,0.472,6.25,3.0,2.0,1.732,0.222,1.5,7.281,0.378,12.006,0.549,12.419,2.207,0.793,3.134,0.647,1.957,2.382,0.936,3.447,0.635,2.387,1.669,0.314,3.112,0.755,1.521
zamtmn,Human,human,7,3,3.0,3,1.0,2.333,2.0,1.528,0.286,1.5,2.333,2.0,1.528,0.286,1.5,1.75,1.5,0.957,0.25,1.25,1.667,2.0,0.577,0.133,0.5,63.918,5.196,121.007,0.459,69.114,433.791,2.751,748.733,0.665,649.042,259.507,6.572,518.056,0.774,185.633,262.362,2.751,579.151,0.795,10.124
flow-crane,Human,human,11,2,1.0,1,1.0,11.0,11.0,0.0,0.0,0.0,5.5,5.5,0.707,0.045,0.5,11.0,11.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,932.035,932.035,0.0,0.0,0.0,,,0.0,0.0,,93.203,37.59,151.795,0.703,63.648,103.54,51.922,157.226,0.67,63.781
lazidealist,Human,human,145,8,6.0,2,0.333,24.167,11.0,35.04,0.599,16.5,18.125,2.0,39.128,0.766,8.5,3.625,1.0,5.816,0.596,2.0,2.5,1.0,2.811,0.456,1.5,27.111,0.0,74.644,0.698,8.449,26.922,4.363,51.492,0.756,23.823,14.822,0.799,41.152,0.843,11.823,26.458,1.404,63.748,0.83,17.346
martin_frb,Human,human,280,11,7.0,5,0.714,40.0,4.0,84.392,0.769,19.5,25.455,10.0,34.332,0.623,26.0,3.836,1.0,5.632,0.592,3.0,2.571,1.0,3.309,0.476,1.0,20.243,0.0,46.566,0.626,5.52,8.179,1.672,15.492,0.742,10.762,7.407,1.154,14.364,0.762,8.697,7.748,1.314,14.288,0.744,10.719
zeljan1,Human,human,281,6,2.0,2,1.0,140.5,140.5,193.04,0.486,136.5,46.833,18.0,61.467,0.598,56.0,40.143,10.0,86.609,0.762,14.0,3.5,3.5,3.536,0.357,2.5,178.508,21.249,411.145,0.73,58.011,32.586,21.182,41.212,0.598,45.188,5.161,0.418,16.119,0.847,2.422,7.004,0.258,21.822,0.859,3.383
WooBean007,Human,human,69,2,1.0,1,1.0,69.0,69.0,0.0,0.0,0.0,34.5,34.5,45.962,0.471,32.5,69.0,69.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2066.639,2066.639,0.0,0.0,0.0,,,0.0,0.0,,30.392,15.359,42.809,0.632,32.93,1.54,1.778,1.135,0.346,1.32
jrdasm,Human,human,114,11,4.0,2,0.5,28.5,18.0,34.78,0.553,41.0,10.364,4.0,20.987,0.665,2.5,14.25,3.0,19.776,0.632,19.75,4.0,2.5,4.243,0.469,4.5,27.658,0.245,44.683,0.629,41.76,229.603,63.393,413.008,0.705,146.204,16.181,0.054,110.823,0.965,0.306,24.337,0.032,162.253,0.971,0.29
lucasmz,Human,human,158,9,11.0,7,0.636,14.364,6.0,19.75,0.589,16.5,17.556,4.0,25.545,0.657,27.0,2.678,2.0,2.487,0.437,2.0,2.182,2.0,0.982,0.235,1.5,11.543,0.024,23.067,0.637,6.271,25.064,14.921,31.156,0.603,26.956,13.597,1.206,24.147,0.753,18.578,20.219,8.653,28.885,0.666,24.815
munthank,Human,human,53,10,6.0,4,0.667,8.833,8.0,7.705,0.443,12.75,5.3,4.0,4.945,0.47,5.5,3.786,2.0,3.965,0.484,3.75,2.5,3.0,1.225,0.233,1.5,12.546,0.053,26.261,0.705,3.384,71.226,24.334,141.341,0.719,64.89,21.184,0.208,75.753,0.89,2.908,34.168,0.38,101.044,0.859,21.397
markrian,Human,human,232,11,5.0,3,0.6,46.4,10.0,71.248,0.657,47.0,21.091,18.0,15.591,0.4,22.0,5.949,3.0,7.944,0.573,7.0,5.6,6.0,4.159,0.371,6.0,1.695,0.014,3.955,0.773,1.016,5.492,0.443,15.074,0.84,3.508,1.19,0.036,6.503,0.925,0.268,1.19,0.034,6.941,0.931,0.323
leipert,Human,human,252,11,17.0,10,0.588,14.824,4.0,35.175,0.743,8.0,22.909,17.0,24.664,0.538,28.5,2.93,2.0,3.958,0.499,2.0,2.882,2.0,2.421,0.394,2.0,7.884,0.001,63.332,0.954,0.089,3.479,0.116,11.829,0.904,0.361,3.88,0.051,37.645,0.967,0.222,5.144,0.046,43.908,0.965,0.278
michelle-chen,Human,human,103,11,10.0,6,0.6,10.3,2.0,15.026,0.642,10.75,9.364,4.0,13.902,0.611,4.5,3.219,1.5,4.682,0.542,2.0,2.7,1.5,2.584,0.433,2.0,14.303,0.003,38.412,0.767,0.883,53.128,0.956,148.396,0.849,36.942,20.634,0.12,85.952,0.917,0.898,30.065,0.247,112.602,0.906,5.608
jrushford,Human,human,279,11,12.0,6,0.5,23.25,4.0,53.7,0.786,3.75,25.364,22.0,18.806,0.39,22.0,2.163,1.0,2.433,0.419,1.0,3.083,2.5,2.275,0.358,2.25,2.363,0.0,9.958,0.834,0.139,6.638,0.176,27.208,0.906,1.498,4.153,0.1,19.293,0.912,0.986,4.513,0.102,20.536,0.913,0.991
aregnery,Human,human,22,5,2.0,2,1.0,11.0,11.0,11.314,0.364,8.0,4.4,2.0,4.506,0.455,3.0,5.5,1.5,8.347,0.591,5.0,3.0,3.0,1.414,0.167,1.0,1.024,0.032,2.006,0.484,1.056,11.17,9.302,12.136,0.479,12.028,1.791,0.076,5.505,0.883,0.162,3.849,0.076,8.186,0.807,0.544
danmh,Human,human,256,12,8.0,5,0.625,32.0,4.0,43.697,0.638,58.25,21.333,7.5,29.515,0.632,22.0,2.977,2.0,2.87,0.447,3.0,4.25,3.0,3.412,0.412,4.75,1.182,0.036,3.544,0.777,0.571,9.869,0.503,49.208,0.914,1.453,3.688,0.128,28.707,0.942,0.497,4.569,0.106,33.779,0.953,0.394
bmwiedemann,Human,human,30,7,11.0,4,0.364,2.727,3.0,1.489,0.273,1.5,4.286,5.0,2.628,0.305,2.5,1.5,1.0,0.761,0.237,1.0,2.273,3.0,0.905,0.196,1.5,11.955,0.0,38.075,0.751,0.009,20.098,0.099,51.349,0.861,7.607,21.412,0.056,50.209,0.849,9.708,20.576,0.053,51.823,0.868,4.48
sdarwin,Human,human,9,5,2.0,2,1.0,4.5,4.5,2.121,0.167,1.5,1.8,1.0,1.304,0.311,1.0,2.25,1.5,1.893,0.361,1.75,2.5,2.5,0.707,0.1,0.5,6.438,0.052,12.806,0.496,6.49,0.255,0.264,0.021,0.033,0.019,3.315,0.248,7.003,0.787,1.367,3.486,0.248,8.113,0.803,0.132
anarcat,Human,human,170,11,25.0,7,0.28,6.8,4.0,9.269,0.598,5.0,15.455,2.0,38.583,0.786,5.0,1.65,1.0,1.319,0.303,1.0,1.56,1.0,1.356,0.31,0.0,3.105,0.0,13.791,0.862,0.059,18.006,2.489,31.098,0.742,22.727,12.76,0.551,26.629,0.806,12.659,20.332,1.163,37.331,0.769,24.38
millennium_dawn_cwtools,Bot,human,22,3,1.0,1,1.0,22.0,22.0,0.0,0.0,0.0,7.333,4.0,6.658,0.364,6.0,22.0,22.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,916.291,916.291,0.0,0.0,0.0,,,0.0,0.0,,43.633,24.516,51.769,0.58,56.85,30.29,11.206,56.779,0.729,24.146
cyrusjackson1,Human,human,147,4,1.0,1,1.0,147.0,147.0,0.0,0.0,0.0,36.75,8.0,60.884,0.641,32.75,147.0,147.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1602.736,1602.736,0.0,0.0,0.0,,,0.0,0.0,,10.978,1.262,25.604,0.805,9.862,6.623,0.164,20.909,0.903,0.329
alexghost573,Human,human,82,4,1.0,1,1.0,82.0,82.0,0.0,0.0,0.0,20.5,2.5,37.009,0.689,19.5,82.0,82.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2024.077,2024.077,0.0,0.0,0.0,,,0.0,0.0,,24.989,0.964,49.112,0.787,21.669,34.647,0.72,65.03,0.777,24.719
MattyBoombalatty,Human,human,50,7,2.0,2,1.0,25.0,25.0,25.456,0.36,18.0,7.143,3.0,8.112,0.526,8.0,5.0,2.0,7.454,0.6,1.0,3.5,3.5,2.121,0.214,1.5,148.602,0.217,335.199,0.723,4.336,21.765,1.234,30.513,0.664,48.547,34.325,1.239,78.752,0.829,13.768,29.175,1.234,56.335,0.786,29.11
patrickReiis,Human,human,281,9,4.0,1,0.25,70.25,69.0,79.989,0.497,137.25,31.222,31.0,20.693,0.344,31.0,4.258,2.0,5.424,0.54,4.0,5.0,5.0,4.619,0.4,8.0,14.28,0.187,39.726,0.773,5.238,15.068,2.6,31.219,0.759,15.991,6.864,0.202,19.75,0.86,2.361,7.397,0.171,20.492,0.858,2.626
danidfra,Human,human,234,8,2.0,1,0.5,117.0,117.0,158.392,0.479,112.0,29.25,14.5,38.04,0.599,38.25,46.8,21.0,58.286,0.583,65.0,6.0,6.0,2.828,0.167,2.0,393.849,552.292,365.755,0.297,677.395,48.752,48.24,56.169,0.502,96.754,9.289,0.167,25.79,0.868,2.76,8.867,0.127,25.068,0.867,3.013
alexgleason,Human,human,215,10,7.0,2,0.286,30.714,6.0,34.321,0.542,56.5,21.5,20.0,19.098,0.45,20.25,3.525,3.0,2.902,0.4,3.0,4.857,5.0,3.024,0.328,4.5,6.59,0.158,19.591,0.846,1.251,11.653,1.423,25.861,0.807,7.292,5.146,0.174,17.457,0.9,1.134,6.279,0.096,19.968,0.895,1.56
Karmalakas,Human,human,10,2,3.0,2,0.667,3.333,4.0,2.082,0.267,2.0,5.0,5.0,2.828,0.2,2.0,2.5,2.0,1.915,0.35,2.5,1.667,2.0,0.577,0.133,0.5,36.798,3.311,69.252,0.455,40.109,105.169,104.128,103.097,0.436,103.093,51.411,5.939,76.527,0.684,101.532,66.482,10.968,90.132,0.614,98.189
gkeeth,Human,human,268,11,14.0,4,0.286,19.143,8.0,33.335,0.682,10.75,24.364,12.0,30.716,0.583,22.5,1.874,1.0,1.547,0.347,1.0,2.929,2.0,2.056,0.357,2.75,7.381,0.0,30.613,0.813,0.318,7.3,1.048,15.519,0.786,6.888,7.836,0.943,18.43,0.792,7.128,6.956,1.033,13.31,0.773,6.966
nbarr,Human,human,38,2,4.0,2,0.5,9.5,4.0,13.102,0.566,8.5,19.0,19.0,14.142,0.263,10.0,3.455,1.0,5.905,0.579,1.5,1.5,1.5,0.577,0.167,1.0,101.107,0.0,309.85,0.768,3.662,88.223,56.677,110.822,0.595,109.374,53.903,2.532,96.211,0.763,71.277,159.399,131.492,154.293,0.502,273.171
LisaHill,Human,human,28,6,1.0,1,1.0,28.0,28.0,0.0,0.0,0.0,4.667,3.5,3.559,0.357,3.75,28.0,28.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,846.507,846.507,0.0,0.0,0.0,,,0.0,0.0,,31.352,0.115,83.447,0.881,2.182,26.628,0.115,71.762,0.88,2.179
tintenfisch,Human,human,5,3,2.0,1,0.5,2.5,2.5,2.121,0.3,1.5,1.667,1.0,1.155,0.267,1.0,1.667,1.0,1.155,0.267,1.0,1.5,1.5,0.707,0.167,0.5,0.021,0.0,0.036,0.0,0.031,11.101,11.101,13.802,0.44,9.759,5.566,0.688,10.215,0.716,6.189,11.101,11.101,13.802,0.44,9.759
liv-theo,Human,human,37,6,1.0,1,1.0,37.0,37.0,0.0,0.0,0.0,6.167,6.0,5.307,0.428,7.5,37.0,37.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,426.736,426.736,0.0,0.0,0.0,,,0.0,0.0,,11.854,0.238,38.022,0.904,1.042,16.258,0.314,44.172,0.875,2.595
bl00dymarie,Human,human,116,13,3.0,2,0.667,38.667,6.0,60.078,0.609,53.0,8.923,10.0,6.224,0.377,10.0,11.6,2.5,17.74,0.655,15.0,5.0,1.0,6.928,0.533,6.0,51.882,3.119,109.1,0.722,22.66,71.119,22.404,131.206,0.689,38.129,10.077,0.048,43.657,0.927,0.606,7.666,0.061,24.178,0.904,0.764
Grimmauld,Human,human,42,8,2.0,2,1.0,21.0,21.0,1.414,0.024,1.0,5.25,4.5,4.132,0.381,3.0,2.211,2.0,1.813,0.371,1.5,4.0,4.0,1.414,0.125,1.0,66.203,0.013,189.268,0.775,15.311,3.545,0.133,6.82,0.791,0.817,32.236,0.903,92.13,0.873,11.101,11.966,0.267,42.825,0.873,8.793
zyga-aka-zygoon,Human,human,268,13,6.0,3,0.5,44.667,51.0,30.995,0.347,48.25,20.615,4.0,50.209,0.765,9.0,3.941,1.5,5.662,0.572,3.0,4.333,3.5,2.733,0.308,4.5,5.296,0.009,15.732,0.788,1.218,9.536,0.171,32.189,0.904,1.472,3.742,0.095,18.181,0.938,0.313,6.843,0.101,26.961,0.922,0.81
emixam16,Human,human,39,6,3.0,2,0.667,13.0,17.0,9.644,0.308,9.0,6.5,6.0,4.68,0.338,2.25,1.696,1.0,0.926,0.27,1.0,2.333,2.0,0.577,0.095,0.5,23.971,0.0,104.601,0.878,0.306,66.663,9.742,105.882,0.723,107.518,53.103,0.661,108.44,0.809,47.558,64.181,2.004,119.55,0.783,81.072
cboltz,Human,human,217,10,2.0,2,1.0,108.5,108.5,74.246,0.242,52.5,21.7,11.0,24.864,0.559,24.75,3.807,2.0,5.611,0.557,2.0,5.5,5.5,4.95,0.318,3.5,27.724,0.035,84.001,0.814,4.653,9.454,0.204,16.687,0.772,14.793,9.767,0.127,23.64,0.844,3.174,12.339,0.251,25.343,0.801,18.056
pietrodelugas,Human,human,44,9,4.0,4,1.0,11.0,11.0,8.042,0.352,10.5,4.889,3.0,6.918,0.53,2.0,2.75,1.0,4.81,0.557,0.25,2.75,2.0,2.217,0.341,1.25,17.854,0.0,49.281,0.537,1.349,120.293,13.706,183.427,0.706,188.257,48.606,0.406,121.447,0.862,11.654,99.797,3.912,167.717,0.742,125.278
bellenlau,Human,human,24,6,6.0,3,0.5,4.0,3.0,2.828,0.347,3.75,4.0,2.0,5.06,0.528,2.75,2.0,1.0,1.954,0.396,1.0,2.0,2.0,0.632,0.139,0.0,7.385,0.0,20.381,0.638,0.371,175.08,88.474,182.619,0.546,323.845,87.587,0.576,150.671,0.76,80.15,120.06,16.38,185.229,0.707,191.504
ye-luo,Human,human,11,6,2.0,2,1.0,5.5,5.5,4.95,0.318,3.5,1.833,2.0,0.753,0.197,0.75,2.2,2.0,1.304,0.291,2.0,3.0,3.0,2.828,0.333,2.0,67.401,0.361,115.518,0.527,69.763,174.482,170.323,201.573,0.506,344.762,103.493,35.447,141.15,0.657,150.685,96.247,1.131,147.726,0.696,97.01
timrov,Human,human,38,6,2.0,2,1.0,19.0,19.0,1.414,0.026,1.0,6.333,6.0,4.761,0.377,5.25,1.652,1.0,1.112,0.297,1.0,3.0,3.0,1.414,0.167,1.0,13.814,0.0,29.725,0.497,11.926,12.613,0.115,24.879,0.794,19.014,16.086,0.971,27.186,0.748,21.005,13.144,0.205,24.804,0.784,19.346
jiang-yuha0,Human,human,8,2,1.0,1,1.0,8.0,8.0,0.0,0.0,0.0,4.0,4.0,4.243,0.375,3.0,8.0,8.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,265.268,265.268,0.0,0.0,0.0,,,0.0,0.0,,37.895,0.125,99.99,0.855,0.123,0.044,0.044,0.0,0.0,0.0
jmlihm,Human,human,56,6,4.0,4,1.0,14.0,13.0,12.832,0.438,17.5,9.333,8.0,7.174,0.393,10.5,1.931,1.0,1.731,0.373,1.0,2.0,2.0,0.816,0.188,0.5,50.68,0.0,239.455,0.858,2.287,22.237,0.567,47.522,0.821,12.51,38.043,1.368,119.225,0.877,13.35,48.227,0.786,141.743,0.883,10.192
miro.ilias,Human,human,81,8,3.0,3,1.0,27.0,15.0,22.539,0.329,20.0,10.125,11.0,6.468,0.326,7.75,4.263,1.0,10.197,0.652,2.0,4.333,4.0,3.512,0.359,3.5,74.499,0.0,270.917,0.823,3.3,19.875,4.392,34.036,0.73,18.918,22.165,0.83,79.928,0.892,6.903,15.856,0.756,46.029,0.866,6.699
thwright,Human,human,5,3,1.0,1,1.0,5.0,5.0,0.0,0.0,0.0,1.667,1.0,1.155,0.267,1.0,5.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.429,0.429,0.0,0.0,0.0,,,0.0,0.0,,0.107,0.107,0.055,0.237,0.036,0.142,0.142,0.047,0.118,0.033
aje.baugh,Human,human,266,8,4.0,1,0.25,66.5,20.0,107.059,0.665,83.0,33.25,14.0,50.672,0.567,13.25,6.821,2.0,9.199,0.602,8.0,3.5,2.5,3.317,0.429,4.0,16.461,0.052,40.686,0.688,10.677,4.976,0.451,10.078,0.795,3.245,3.136,0.28,6.905,0.805,1.996,3.395,0.28,6.985,0.799,2.065
lock042,Human,human,248,10,6.0,1,0.167,41.333,23.0,44.796,0.526,64.25,24.8,9.0,52.967,0.735,13.25,3.351,2.0,3.107,0.441,3.0,3.5,2.5,2.881,0.405,4.0,5.465,0.086,13.952,0.77,3.202,5.5,3.875,6.153,0.566,7.165,3.263,0.316,6.448,0.764,4.475,3.582,1.244,5.114,0.671,5.255
cogbot,Bot,bot-heuristic,195,1,2.0,2,1.0,97.5,97.5,135.057,0.49,95.5,195.0,195.0,0.0,0.0,0.0,48.75,13.0,80.301,0.673,59.75,1.0,1.0,0.0,0.0,0.0,54.615,7.24,99.811,0.434,61.855,1.717,0.891,1.807,0.429,1.659,1.153,0.356,4.264,0.735,0.848,,,0.0,0.0,
project_278964_bot_a1e04ca047b466ba2f6534548fe23088,Bot,bot-heuristic,291,4,2.0,2,1.0,145.5,145.5,191.626,0.466,135.5,72.75,66.5,66.128,0.417,103.75,17.118,2.0,39.528,0.781,9.0,2.5,2.5,2.121,0.3,1.5,74.333,0.149,247.466,0.8,13.921,3.315,2.72,3.11,0.498,4.673,4.54,0.166,14.568,0.846,2.998,3.712,0.02,5.565,0.71,5.377
project_278964_bot_d928bc4aee0c73fc4ffa994d76825393,Bot,bot-heuristic,300,3,1.0,1,1.0,300.0,300.0,0.0,0.0,0.0,100.0,31.0,124.744,0.487,109.5,300.0,300.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,444.694,444.694,0.0,0.0,0.0,,,0.0,0.0,,1.487,0.005,5.883,0.941,0.002,1.147,0.002,4.572,0.943,0.002
project_278964_bot_77e28085fcec07f14dfd31c689824b5b,Bot,bot-heuristic,299,4,1.0,1,1.0,299.0,299.0,0.0,0.0,0.0,74.75,70.5,11.701,0.066,7.25,299.0,299.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,907.516,907.516,0.0,0.0,0.0,,,0.0,0.0,,3.045,0.022,11.221,0.861,1.486,2.897,0.011,11.572,0.874,1.478
group_12627982_bot_fa274bcce794e189d7608b786351d57e,Bot,bot-heuristic,6,1,2.0,2,1.0,3.0,3.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,1.5,1.5,0.577,0.167,1.0,1.0,1.0,0.0,0.0,0.0,336.002,336.001,387.981,0.0,672.003,0.001,0.001,0.0,0.095,0.0,268.802,0.001,368.071,0.6,672.002,,,0.0,0.0,
project_278964_bot_99d8e0716045edece1ece406bdf03728,Bot,bot-heuristic,300,1,1.0,1,1.0,300.0,300.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,858.0,858.0,0.0,0.0,0.0,,,0.0,0.0,,2.87,2.0,3.17,0.286,0.003,,,0.0,0.0,
