contributor,dataset,label,DAAR_IQR,DAAR_gini,DAAR_mean,DAAR_median,DAAR_std,DCAR_IQR,DCAR_gini,DCAR_mean,DCAR_median,DCAR_std,DCAT_IQR,DCAT_gini,DCAT_mean,DCAT_median,DCAT_std,DCA_IQR,DCA_gini,DCA_mean,DCA_median,DCA_std,NA,NAR_IQR,NAR_gini,NAR_mean,NAR_median,NAR_std,NAT_IQR,NAT_gini,NAT_mean,NAT_median,NAT_std,NCAR_IQR,NCAR_gini,NCAR_mean,NCAR_median,NCAR_std,NOR,NT,NTR_IQR,NTR_gini,NTR_mean,NTR_median,NTR_std,ORR
sqlalchemy-bot,train,Bot,3.673,0.84,8.505,0.001,19.107,0.0,0.9,1.347,0.0,8.812,0.001,0.925,3.993,0.0,16.734,0.061,0.86,5.474,0.001,16.015,300,52.5,0.544,42.857,19.0,50.161,25.0,0.711,50.0,12.5,93.308,1.0,0.272,1.796,2.0,0.967,2,6,1.0,0.19,2.571,3.0,0.976,0.286
lirantal,train,Human,14.655,0.644,9.697,3.602,12.715,0.127,0.877,1.729,0.001,5.895,4.006,0.804,4.516,0.026,9.136,2.142,0.845,3.787,0.057,9.041,267,6.75,0.59,6.357,3.0,10.257,14.0,0.697,17.8,5.0,35.623,2.0,0.355,3.0,3.0,2.701,14,15,2.0,0.262,2.31,3.0,1.137,0.333
kilbot,train,Human,20.271,0.776,19.588,1.504,40.744,0.366,0.878,10.644,0.0,43.442,5.762,0.835,9.857,0.101,28.517,5.896,0.843,11.374,0.284,29.133,188,18.25,0.584,11.75,2.5,13.616,5.0,0.775,17.091,3.0,41.423,2.0,0.467,2.648,1.0,3.048,6,11,2.0,0.287,1.812,1.0,1.047,0.375
atyponci,train,Bot,1.41,0.848,4.382,0.108,11.243,0.018,0.935,0.906,0.012,5.177,0.053,0.65,0.079,0.054,0.181,0.806,0.884,3.239,0.074,9.675,300,85.0,0.528,50.0,40.5,53.119,130.0,0.433,150.0,150.0,183.848,1.0,0.199,1.63,2.0,0.665,1,2,0.0,0.119,1.167,1.0,0.408,0.167
metamaskbot,train,Bot,0.88,0.783,2.148,0.289,4.263,0.632,0.82,4.352,0.0,15.87,2.122,0.769,2.484,0.289,4.619,0.528,0.824,2.43,0.325,5.879,182,38.0,0.662,26.0,6.0,38.867,2.0,0.011,91.0,91.0,2.828,2.0,0.484,2.676,1.0,3.257,1,2,0.0,0.107,1.143,1.0,0.378,0.143
acdlite,train,Human,1.111,0.917,6.787,0.107,27.808,0.423,0.841,3.765,0.0,15.311,1.046,0.916,5.47,0.098,24.088,1.009,0.914,5.249,0.094,22.233,253,85.25,0.45,63.25,53.5,60.808,23.0,0.517,31.625,28.0,37.382,2.0,0.34,2.008,1.0,1.483,3,8,1.75,0.217,3.75,3.5,1.708,0.75
sandersn,train,Human,25.277,0.714,20.704,3.172,36.333,18.771,0.706,17.953,0.002,41.434,3.912,0.845,10.811,0.157,28.141,3.083,0.843,9.487,0.143,23.826,227,10.25,0.688,16.214,4.0,26.713,17.0,0.553,20.636,11.0,24.349,2.0,0.602,4.054,2.0,6.958,4,11,1.75,0.425,2.714,2.0,2.494,0.286
bcoe,train,Human,4.41,0.833,10.149,0.463,24.61,0.384,0.873,7.85,0.025,27.8,0.558,0.912,6.019,0.075,20.246,0.294,0.93,4.874,0.072,19.297,202,12.5,0.647,10.632,3.0,17.321,12.0,0.48,15.538,11.0,15.328,3.0,0.529,3.673,2.0,4.368,11,13,4.5,0.436,3.316,2.0,2.829,0.579
a-tarasyuk,train,Human,7.336,0.785,6.621,0.683,13.962,0.107,0.748,3.062,0.0,11.303,4.773,0.804,5.746,0.328,12.734,3.992,0.807,5.283,0.293,11.744,249,51.0,0.594,35.571,15.0,46.486,17.5,0.547,22.636,14.0,28.31,1.0,0.361,1.831,1.0,1.745,4,11,2.0,0.364,3.143,3.0,2.41,0.571
particularbot,train,Bot,0.521,0.885,2.806,0.339,14.812,0.0,0.885,0.005,0.0,0.023,0.301,0.947,1.258,0.001,9.989,0.293,0.947,1.251,0.008,9.956,300,3.0,0.247,4.615,4.0,2.17,73.0,0.324,100.0,148.0,84.006,0.0,0.094,2.239,2.0,0.639,1,3,0.0,0.008,2.015,2.0,0.124,0.015
ademarco,train,Human,10.999,0.662,7.381,0.104,12.677,362.254,0.666,361.17,1.087,720.892,0.133,0.962,15.233,0.019,78.656,0.291,0.949,20.955,0.026,89.454,71,32.5,0.458,35.5,35.5,45.962,5.5,0.494,7.1,6.0,7.622,16.75,0.68,17.75,2.5,31.511,1,10,3.0,0.25,6.0,6.0,4.243,0.5
kitten,train,Human,23.029,0.709,19.686,5.315,33.031,0.627,0.837,3.559,0.014,11.542,9.897,0.818,11.407,0.49,26.275,2.391,0.866,7.472,0.183,21.065,269,16.75,0.647,13.45,1.5,18.676,7.0,0.497,24.455,15.0,37.872,2.0,0.484,3.092,2.0,4.028,13,11,4.5,0.47,3.2,1.0,3.071,0.65
gaearon,train,Human,2.146,0.79,2.55,0.206,5.437,11.249,0.776,20.483,0.254,51.581,0.593,0.92,2.421,0.053,11.47,0.421,0.922,2.263,0.055,10.715,234,2.0,0.831,26.0,1.0,67.38,9.75,0.242,23.4,20.0,10.926,14.0,0.594,10.174,5.0,14.364,7,10,1.0,0.472,2.667,1.0,3.041,0.778
ebot1234,train,Human,,0.0,,,0.0,0.0,0.0,2.48,2.48,0.0,0.006,0.336,0.008,0.008,0.008,0.502,0.561,0.354,0.237,0.406,8,0.0,0.0,8.0,8.0,0.0,3.0,0.375,4.0,4.0,4.243,0.0,0.0,8.0,8.0,0.0,1,2,0.0,0.0,2.0,2.0,0.0,1.0
mnapoli,train,Human,20.505,0.678,17.854,5.213,27.485,0.02,0.918,2.742,0.001,12.88,5.034,0.841,8.848,0.034,21.432,4.639,0.844,8.251,0.053,20.211,221,7.75,0.53,10.045,6.0,10.874,20.5,0.536,15.786,8.0,16.605,2.0,0.389,2.483,2.0,2.106,9,14,3.0,0.367,3.5,2.5,2.405,0.409
signcla-test-signed-corp,train,Bot,0.007,0.839,0.022,0.0,0.054,0.005,0.735,0.038,0.001,0.085,0.006,0.835,0.03,0.001,0.071,0.006,0.836,0.03,0.001,0.071,268,9.0,0.034,134.0,134.0,12.728,29.75,0.208,44.667,46.5,19.222,1.0,0.27,2.015,2.0,1.128,2,6,1.0,0.125,4.0,4.0,1.414,1.0
olgabot,train,Human,23.276,0.809,31.437,1.05,75.756,0.293,0.854,4.42,0.0,17.519,16.21,0.87,22.356,0.163,66.303,1.948,0.898,14.419,0.128,50.945,153,2.5,0.694,6.652,1.0,11.838,10.0,0.624,11.769,7.0,20.973,1.75,0.452,2.468,1.0,2.901,12,13,2.0,0.414,2.174,1.0,2.037,0.522
tj-actions-bot,train,Bot,17.451,0.569,15.541,8.592,18.732,2.058,0.812,16.094,0.0,61.82,18.391,0.703,13.291,4.245,19.923,18.759,0.683,15.263,5.27,24.166,143,22.0,0.618,15.889,4.0,21.421,9.5,0.677,20.429,5.0,37.563,1.0,0.365,2.072,1.0,1.785,1,7,1.0,0.309,2.0,2.0,1.323,0.111
weirdconstructor,train,Human,,0.0,,,0.0,0.0,0.0,1467.38,1467.38,0.0,23.595,0.412,16.006,15.462,14.528,9.643,0.89,56.438,6.267,243.289,27,0.0,0.0,27.0,27.0,0.0,11.5,0.426,13.5,13.5,16.263,0.0,0.0,27.0,27.0,0.0,1,2,0.0,0.0,2.0,2.0,0.0,1.0
build-travis-ci,train,Bot,,0.0,,,0.0,0.0,0.0,1940.755,1940.755,0.0,19.847,0.827,37.473,0.632,85.675,4.712,0.874,26.226,0.001,72.959,75,0.0,0.0,75.0,75.0,0.0,12.0,0.416,15.0,16.0,13.304,0.0,0.0,75.0,75.0,0.0,1,5,0.0,0.0,5.0,5.0,0.0,1.0
nrel-bot-2,train,Bot,0.272,0.87,0.6,0.054,3.45,0.001,0.851,1.493,0.0,6.089,0.272,0.87,0.6,0.054,3.45,0.242,0.906,1.055,0.001,4.242,300,14.0,0.047,150.0,150.0,19.799,49.0,0.218,100.0,70.0,55.462,1.0,0.377,1.987,1.0,3.266,2,3,0.5,0.167,1.5,1.5,0.707,1.0
lingohub[bot],train,Bot,6.504,0.485,5.829,4.498,6.663,0.0,0.96,0.012,0.0,0.19,1.5,0.802,2.03,0.001,4.164,6.501,0.608,4.63,1.014,6.379,300,29.0,0.444,25.0,21.0,21.179,93.0,0.413,100.0,42.0,105.698,0.0,0.182,1.261,1.0,0.693,8,3,2.0,0.19,2.333,3.0,0.985,0.667
fishtownbuildbot,train,Bot,6.455,0.793,9.285,1.338,21.603,0.066,0.846,6.339,0.0,26.005,1.424,0.873,4.662,0.024,14.555,1.012,0.88,4.181,0.021,13.709,294,10.25,0.682,29.4,10.0,59.666,86.75,0.517,49.0,33.5,51.602,3.0,0.571,3.722,2.0,5.776,1,6,1.75,0.239,2.3,2.5,1.059,0.1
edx-pipeline-bot,train,Bot,,0.0,,,0.0,0.0,0.0,749.863,749.863,0.0,1.892,0.809,6.846,1.056,19.272,0.645,0.912,2.508,0.092,11.712,300,0.0,0.0,300.0,300.0,0.0,45.0,0.15,150.0,150.0,63.64,0.0,0.0,300.0,300.0,0.0,1,2,0.0,0.0,2.0,2.0,0.0,1.0
yoshi-automation,train,Bot,16.728,0.491,11.453,10.122,10.541,24.003,0.844,49.795,0.128,117.472,0.248,0.867,6.817,0.001,22.719,0.243,0.871,6.595,0.001,22.377,185,55.5,0.4,61.667,66.0,55.627,22.25,0.123,46.25,46.0,12.997,11.0,0.512,9.25,5.0,10.057,1,4,0.0,0.0,2.0,2.0,0.0,0.333
astirpe,train,Human,18.945,0.862,31.478,0.213,89.268,0.105,0.863,1.01,0.0,4.626,9.649,0.883,25.729,0.132,80.999,1.99,0.908,19.272,0.089,70.191,114,2.5,0.324,4.071,4.0,2.403,12.0,0.499,12.667,11.0,13.077,1.0,0.291,1.676,1.0,1.057,3,9,1.0,0.243,2.071,2.0,1.016,0.107
meili-bot,train,Bot,15.533,0.795,14.196,1.288,30.488,0.518,0.869,2.426,0.002,7.891,0.991,0.902,6.001,0.001,20.718,1.61,0.885,6.05,0.046,19.701,169,6.75,0.448,7.682,6.0,8.056,27.0,0.46,18.778,14.0,16.574,1.0,0.271,2.726,3.0,1.428,1,9,1.0,0.203,3.364,3.5,1.329,0.045
beliefer,train,Human,4.152,0.888,13.353,0.62,50.857,0.931,0.834,8.619,0.0,34.548,2.914,0.896,9.715,0.484,44.175,3.039,0.885,9.663,0.641,40.278,227,44.25,0.57,37.833,18.0,46.761,9.0,0.608,25.222,12.0,39.66,2.0,0.419,2.27,1.0,2.719,2,9,2.5,0.307,3.167,2.5,1.941,0.333
spyder-bot,train,Bot,,0.0,,,0.0,0.0,0.0,731.826,731.826,0.0,6.874,0.633,7.37,2.458,11.527,7.414,0.525,7.246,4.688,7.503,102,0.0,0.0,102.0,102.0,0.0,49.0,0.48,51.0,51.0,69.296,0.0,0.0,102.0,102.0,0.0,1,2,0.0,0.0,2.0,2.0,0.0,1.0
luciferyang,train,Human,1.273,0.832,2.606,0.32,7.083,0.236,0.821,2.587,0.0,9.371,1.093,0.841,2.52,0.231,6.578,1.06,0.847,2.416,0.194,6.579,260,7.5,0.758,17.333,4.0,35.94,36.0,0.512,23.636,20.0,23.014,1.0,0.409,2.149,1.0,2.308,4,11,2.0,0.333,2.4,2.0,1.682,0.267
rbott,train,Human,38.522,0.846,127.462,0.322,299.725,0.594,0.805,24.73,0.0,88.421,10.087,0.88,99.216,0.349,267.683,7.074,0.902,69.53,0.351,212.31,32,7.0,0.438,6.4,5.0,5.727,3.0,0.549,3.556,1.0,4.902,1.5,0.404,2.133,1.0,2.134,4,9,3.0,0.293,3.0,2.0,1.871,0.8
alexeagle,train,Human,2.162,0.832,4.0,0.311,10.599,0.071,0.924,2.822,0.0,17.329,0.449,0.904,2.573,0.04,9.339,0.422,0.902,2.492,0.044,8.828,254,7.0,0.622,8.759,5.0,14.594,18.5,0.511,16.933,17.0,17.182,2.0,0.474,2.731,1.0,3.404,11,15,4.0,0.376,3.379,3.0,2.382,0.379
v1r0x,train,Human,,0.0,,,0.0,0.0,0.0,2039.228,2039.228,0.0,5.038,0.829,10.676,0.159,23.62,16.977,0.813,13.416,0.371,28.117,153,0.0,0.0,153.0,153.0,0.0,8.0,0.618,13.909,7.0,23.772,0.0,0.0,153.0,153.0,0.0,1,11,0.0,0.0,11.0,11.0,0.0,1.0
swiftlintbot,train,Bot,,0.0,,,0.0,0.0,0.0,2074.716,2074.716,0.0,,0.0,,,0.0,42.43,0.625,31.435,21.744,46.935,67,0.0,0.0,67.0,67.0,0.0,0.0,0.0,67.0,67.0,0.0,0.0,0.0,67.0,67.0,0.0,1,1,0.0,0.0,1.0,1.0,0.0,1.0
codewitch-honey-crisis,train,Human,9.933,0.672,7.787,1.877,11.952,1.761,0.778,9.589,0.071,26.051,0.664,0.867,2.407,0.033,6.402,2.215,0.826,3.732,0.222,9.699,269,12.75,0.684,12.227,3.0,20.433,8.0,0.766,29.889,6.0,65.189,3.0,0.542,4.638,3.0,5.687,4,9,2.0,0.325,1.955,1.0,1.29,0.182
ecomplus-bot,train,Bot,3.407,0.711,3.265,0.87,5.428,0.084,0.845,0.663,0.0,3.485,0.13,0.587,0.098,0.032,0.142,0.859,0.834,1.71,0.147,4.446,300,6.5,0.565,6.977,4.0,8.844,148.5,0.66,100.0,1.0,171.473,1.0,0.439,2.29,1.0,2.805,1,3,0.0,0.043,1.047,1.0,0.305,0.023
fabiosantoscode,train,Human,24.325,0.681,21.371,3.787,31.991,0.0,0.813,0.47,0.0,2.983,24.324,0.752,20.23,0.296,37.994,23.959,0.75,16.021,0.104,28.874,136,29.75,0.632,13.6,2.0,18.792,4.0,0.757,12.364,3.0,29.279,0.0,0.247,1.36,1.0,1.453,6,11,0.0,0.378,1.8,1.0,1.932,0.6
ti-chi-bot,train,Bot,0.01,0.945,0.229,0.001,1.214,0.0,0.68,0.0,0.0,0.002,0.01,0.963,0.144,0.001,1.012,0.01,0.957,0.153,0.001,0.995,115,11.0,0.483,8.846,6.0,8.184,11.75,0.237,28.75,36.0,16.641,1.0,0.184,1.494,1.0,0.553,2,4,1.0,0.147,1.615,2.0,0.506,0.154
openshift-merge-robot,train,Bot,0.151,0.782,0.216,0.032,0.437,0.0,0.934,0.01,0.0,0.071,0.549,0.576,0.468,0.249,0.534,0.079,0.833,0.147,0.002,0.369,219,2.0,0.414,2.704,2.0,2.299,66.5,0.405,73.0,84.0,67.179,1.0,0.19,1.531,1.0,0.614,23,3,0.0,0.089,1.111,1.0,0.316,0.284
wstgbot,train,Bot,83.777,0.844,131.532,0.001,333.893,0.0,0.0,0.0,0.0,0.0,78.743,0.856,121.415,0.001,321.753,78.743,0.856,121.415,0.001,321.753,14,2.0,0.19,4.667,6.0,2.309,3.0,0.286,4.667,6.0,3.215,0.0,0.066,1.077,1.0,0.277,2,3,0.5,0.167,1.333,1.0,0.577,0.667
nb-bot,train,Bot,0.0,0.0,0.004,0.004,0.0,239.427,0.5,239.43,239.43,338.6,154.588,0.5,154.592,154.592,218.62,25.32,0.816,43.533,0.117,94.929,12,4.0,0.333,6.0,6.0,5.657,5.0,0.417,6.0,6.0,7.071,4.0,0.333,6.0,6.0,5.657,1,2,0.5,0.167,1.5,1.5,0.707,0.5
thegiga,train,Bot,95.694,0.715,95.354,38.086,173.228,0.06,0.669,15.836,0.0,47.043,53.075,0.79,96.048,13.792,197.846,20.623,0.864,32.536,0.503,101.124,63,1.75,0.675,6.3,1.5,11.086,1.5,0.744,7.875,1.0,17.86,1.0,0.613,3.316,1.0,6.634,7,8,0.0,0.273,1.5,1.0,1.08,0.7
vizipi[bot],train,Bot,26.166,0.667,22.59,8.229,38.829,0.0,0.694,4.413,0.0,18.435,,0.0,,,0.0,23.834,0.678,20.166,6.672,35.384,107,5.0,0.444,5.095,4.0,4.679,0.0,0.0,107.0,107.0,0.0,0.25,0.201,1.338,1.0,0.655,4,1,0.0,0.0,1.0,1.0,0.0,0.19
amigrave,train,Human,242.448,0.495,244.83,244.83,342.874,9.373,0.0,6.249,0.0,10.823,11.165,0.814,84.706,2.377,197.303,2.308,0.875,56.49,0.645,161.622,10,3.5,0.467,3.333,1.0,4.041,2.0,0.4,2.5,1.5,2.38,3.5,0.467,3.333,1.0,4.041,2,4,1.0,0.267,1.667,1.0,1.155,0.667
johnpbloch-bot,train,Bot,1.821,0.796,3.102,0.0,6.854,0.0,0.56,1.539,0.0,5.124,0.024,0.017,0.676,0.676,0.033,3.015,0.756,3.963,0.002,7.551,300,75.0,0.333,100.0,148.0,85.75,148.0,0.493,150.0,150.0,209.304,0.0,0.121,1.172,1.0,0.378,1,2,0.5,0.167,1.333,1.0,0.577,0.333
wetrobot,train,Human,45.104,0.095,237.102,237.102,63.787,531.279,0.636,371.286,51.296,599.21,50.682,0.844,122.111,0.001,296.403,0.306,0.864,83.582,0.001,248.927,20,2.0,0.1,10.0,10.0,2.828,3.0,0.2,6.667,6.0,3.055,2.0,0.133,6.667,8.0,2.309,1,3,0.0,0.0,3.0,3.0,0.0,0.5
git2gus[bot],train,Bot,6.72,0.704,8.673,2.918,16.386,0.009,0.927,0.923,0.001,4.629,29.745,0.567,20.037,10.001,24.133,2.538,0.86,4.015,0.005,11.629,300,23.25,0.535,11.538,3.5,12.193,102.0,0.34,150.0,150.0,144.25,3.0,0.364,2.381,1.5,1.668,5,2,0.0,0.036,1.038,1.0,0.196,0.192
althonos,train,Human,5.855,0.828,10.445,0.777,24.329,0.092,0.848,2.764,0.0,12.416,1.885,0.879,7.086,0.288,21.093,1.439,0.885,5.671,0.236,17.823,288,8.0,0.633,6.857,2.0,9.774,8.5,0.757,20.571,5.0,53.063,1.0,0.475,2.323,1.0,3.08,20,14,1.0,0.337,1.881,1.0,1.347,0.476
yizhou7,train,Human,118.958,0.629,69.702,24.11,90.987,202.929,0.536,206.677,2.441,384.13,42.442,0.743,42.575,0.758,84.092,27.79,0.659,26.436,12.005,40.087,82,2.0,0.732,16.4,2.0,32.769,19.5,0.713,20.5,1.0,39.0,17.5,0.607,10.25,2.0,13.177,4,4,0.0,0.133,1.2,1.0,0.447,0.8
actonmassbot,train,Bot,,0.0,,,0.0,0.0,0.0,2017.269,2017.269,0.0,,0.0,,,0.0,14.2,0.862,34.781,0.16,84.918,59,0.0,0.0,59.0,59.0,0.0,0.0,0.0,59.0,59.0,0.0,0.0,0.0,59.0,59.0,0.0,1,1,0.0,0.0,1.0,1.0,0.0,1.0
davetaz,train,Human,45.209,0.754,41.331,3.311,72.211,0.645,0.86,5.395,0.034,17.022,0.152,0.935,10.819,0.009,41.318,0.356,0.936,8.83,0.022,35.543,208,4.75,0.717,9.455,3.0,23.435,18.25,0.534,17.333,12.0,21.351,3.5,0.611,5.2,2.0,9.576,5,12,2.0,0.352,2.182,1.5,1.593,0.227
p3x-robot,train,Human,0.932,0.917,23.741,0.02,98.631,0.0,0.892,1.516,0.0,9.362,1.426,0.902,33.463,0.099,118.733,0.179,0.934,16.996,0.025,81.642,117,9.5,0.663,7.8,1.0,12.055,13.25,0.574,19.5,10.0,26.516,0.0,0.271,1.481,1.0,1.06,10,6,0.0,0.311,1.6,1.0,1.298,0.667
slimslenderslacks,train,Human,15.164,0.812,17.271,2.611,48.729,1.517,0.761,16.103,0.0,48.41,9.9,0.837,15.596,0.962,44.876,12.485,0.805,13.326,1.599,35.39,165,7.5,0.691,10.312,3.0,19.581,5.5,0.736,11.0,3.0,27.321,1.0,0.462,2.5,1.0,2.736,7,15,2.0,0.412,2.5,1.0,2.221,0.438
ddunkin,train,Human,48.952,0.824,86.095,9.742,215.323,0.374,0.416,0.408,0.0,0.796,16.498,0.871,65.349,1.264,190.536,15.519,0.885,54.09,1.232,172.162,17,2.5,0.441,2.833,1.5,2.787,1.0,0.288,1.889,2.0,1.269,1.0,0.246,1.545,1.0,0.82,5,9,1.75,0.306,2.0,1.5,1.265,0.833
zacharycmontoya,train,Human,17.145,0.714,13.896,2.762,23.452,2.731,0.842,14.766,0.029,47.204,5.552,0.826,9.514,0.698,22.373,3.169,0.871,8.507,0.302,28.058,215,16.75,0.728,17.917,2.0,31.396,17.0,0.617,19.545,9.0,26.568,2.25,0.486,3.359,2.0,4.096,4,11,3.25,0.444,3.0,1.5,2.73,0.333
infinitered-circleci,train,Bot,90.945,0.666,76.857,18.583,106.833,7.156,0.785,55.382,0.024,118.177,0.059,0.866,32.95,0.001,85.599,0.001,0.939,14.564,0.001,58.575,141,42.5,0.402,47.0,44.0,42.579,6.0,0.238,28.2,26.0,14.789,9.0,0.518,8.812,5.5,9.731,1,5,2.0,0.296,3.0,3.0,2.0,0.333
webtorrent-bot,train,Bot,2.771,0.84,45.245,1.0,105.688,0.003,0.937,47.378,0.005,189.469,0.005,0.933,16.902,0.001,67.155,0.001,0.959,10.884,0.001,54.386,133,6.0,0.429,13.3,7.5,13.132,0.0,0.397,26.6,21.0,24.562,3.25,0.38,8.312,5.0,8.039,1,5,0.0,0.038,4.2,4.0,0.422,0.1
